               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037982,             0.04129,            0.003066,             0.89345,             0.79914,             0.85837,             0.48627,            0.034315,             0.01881,           0.0018032,            0.006535,            0.006535,            0.006535
                  37,              0.0378,            0.041034,           0.0029058,             0.88375,             0.80047,             0.85916,             0.48593,            0.034812,             0.01889,            0.001782,            0.006436,            0.006436,            0.006436
                  38,            0.037852,            0.040716,           0.0028425,             0.89431,             0.79985,               0.866,             0.48766,             0.03461,            0.018661,            0.001692,            0.006337,            0.006337,            0.006337
                  39,             0.03764,            0.040696,           0.0028783,             0.90357,             0.80168,             0.86778,              0.4868,            0.034769,            0.018769,           0.0017544,            0.006238,            0.006238,            0.006238
                  40,            0.037392,            0.041106,           0.0028986,             0.90458,              0.8063,             0.86938,             0.49217,            0.034077,             0.01865,           0.0017625,            0.006139,            0.006139,            0.006139
                  41,            0.037262,            0.040077,           0.0028798,             0.87641,             0.81625,             0.86443,             0.49511,            0.034226,            0.018722,           0.0016714,             0.00604,             0.00604,             0.00604
                  42,            0.037419,            0.040447,           0.0028624,             0.88947,             0.80772,             0.86633,             0.49861,            0.034082,            0.018612,           0.0016658,            0.005941,            0.005941,            0.005941
                  43,            0.037036,            0.040457,           0.0028044,              0.8889,             0.81565,             0.86995,             0.50253,            0.033793,            0.018675,           0.0017476,            0.005842,            0.005842,            0.005842
                  44,            0.036829,            0.039784,           0.0027772,             0.89293,             0.80561,             0.86818,             0.50717,            0.033575,            0.018585,           0.0016218,            0.005743,            0.005743,            0.005743
                  45,            0.036622,            0.039706,           0.0025818,             0.90266,             0.80152,             0.86481,             0.49955,            0.033567,            0.018347,           0.0017256,            0.005644,            0.005644,            0.005644
                  46,            0.036654,            0.040251,           0.0027081,             0.88999,             0.82839,             0.87548,             0.50983,            0.033649,            0.018199,           0.0017294,            0.005545,            0.005545,            0.005545
                  47,            0.036624,             0.04003,           0.0025673,             0.88975,              0.8204,             0.87684,             0.50579,            0.033281,            0.018205,           0.0015545,            0.005446,            0.005446,            0.005446
                  48,            0.036382,            0.039698,           0.0025217,             0.90172,             0.82062,             0.87467,             0.50943,            0.033436,            0.018455,           0.0015456,            0.005347,            0.005347,            0.005347
                  49,            0.036295,            0.039159,           0.0026038,              0.8902,             0.82751,             0.87743,             0.49989,            0.034289,            0.018426,           0.0014851,            0.005248,            0.005248,            0.005248
                  50,            0.036267,            0.039473,           0.0024904,             0.89024,             0.82517,             0.87197,             0.50633,            0.033509,            0.018239,           0.0017173,            0.005149,            0.005149,            0.005149
                  51,            0.035982,            0.039213,           0.0025144,             0.88535,               0.831,             0.87748,             0.50349,            0.033862,             0.01837,           0.0016617,             0.00505,             0.00505,             0.00505
                  52,            0.036073,             0.03944,           0.0024598,             0.89904,             0.82294,             0.87902,             0.50692,            0.033463,            0.018281,           0.0015125,            0.004951,            0.004951,            0.004951
                  53,            0.035874,            0.039132,           0.0024758,             0.85977,             0.83936,             0.87119,             0.50716,            0.033366,             0.01831,           0.0015827,            0.004852,            0.004852,            0.004852
                  54,            0.035722,            0.038758,           0.0023971,             0.89528,             0.82473,             0.87453,             0.51238,             0.03288,            0.018072,             0.00151,            0.004753,            0.004753,            0.004753
                  55,            0.035752,            0.039363,           0.0023715,             0.90322,             0.82236,             0.88206,             0.51541,            0.033072,            0.018072,           0.0015815,            0.004654,            0.004654,            0.004654
                  56,            0.035561,            0.038887,           0.0024515,             0.89815,             0.82802,             0.87982,             0.51219,            0.033232,            0.018045,           0.0015013,            0.004555,            0.004555,            0.004555
                  57,            0.035554,            0.039078,           0.0023145,             0.88832,             0.83799,             0.88081,             0.52081,            0.032788,            0.017976,           0.0014537,            0.004456,            0.004456,            0.004456
                  58,            0.035439,            0.039088,           0.0023844,             0.88648,             0.83474,             0.87807,             0.51736,            0.032743,            0.018098,           0.0016616,            0.004357,            0.004357,            0.004357
                  59,            0.035409,            0.039068,            0.002381,             0.89277,             0.83705,             0.87894,             0.51641,            0.032684,            0.017979,            0.001598,            0.004258,            0.004258,            0.004258
                  60,            0.035206,            0.038457,            0.002227,             0.89529,             0.83664,             0.88268,             0.51488,            0.032836,            0.017966,           0.0014944,            0.004159,            0.004159,            0.004159
                  61,            0.035319,            0.038442,           0.0021458,              0.8836,             0.84709,             0.88409,             0.52324,            0.032648,            0.017727,            0.001424,             0.00406,             0.00406,             0.00406
                  62,             0.03502,            0.038666,           0.0021751,             0.89332,             0.85073,             0.88864,             0.52387,             0.03243,            0.017694,           0.0013473,            0.003961,            0.003961,            0.003961
                  63,            0.035171,            0.038744,           0.0022301,             0.89623,             0.83754,             0.88366,             0.52481,            0.032189,            0.017661,           0.0013491,            0.003862,            0.003862,            0.003862
                  64,            0.035064,              0.0386,           0.0022802,             0.88843,             0.83794,             0.88211,             0.51861,             0.03267,            0.017769,           0.0014167,            0.003763,            0.003763,            0.003763
                  65,            0.034725,            0.038008,           0.0022159,             0.90027,             0.83854,             0.88534,             0.52751,            0.032071,            0.017592,             0.00149,            0.003664,            0.003664,            0.003664
                  66,            0.034597,            0.037821,           0.0021956,             0.90542,             0.83356,             0.88428,             0.52317,            0.032272,             0.01777,           0.0013996,            0.003565,            0.003565,            0.003565
                  67,              0.0347,            0.038374,           0.0021441,             0.90465,             0.83843,             0.88586,             0.52599,             0.03215,             0.01766,           0.0014055,            0.003466,            0.003466,            0.003466
                  68,            0.034413,            0.038055,           0.0021837,             0.89646,             0.83886,             0.88694,             0.52685,            0.032263,            0.017656,           0.0013912,            0.003367,            0.003367,            0.003367
                  69,            0.034483,            0.038077,           0.0021066,             0.91088,             0.83132,             0.88221,             0.52563,            0.032234,            0.017622,           0.0014768,            0.003268,            0.003268,            0.003268
                  70,            0.034334,            0.037778,           0.0020905,             0.90178,             0.84386,             0.88705,             0.52703,            0.032149,            0.017591,            0.001402,            0.003169,            0.003169,            0.003169
                  71,            0.034172,            0.038121,            0.002002,             0.90957,             0.83904,             0.89237,             0.52869,            0.032114,             0.01757,           0.0013844,             0.00307,             0.00307,             0.00307
                  72,             0.03421,            0.037807,           0.0020716,             0.91054,             0.82761,             0.88566,             0.52294,            0.032181,            0.017587,           0.0015279,            0.002971,            0.002971,            0.002971
                  73,            0.033996,            0.037407,            0.001946,             0.90475,             0.82474,             0.88407,             0.52533,            0.032063,            0.017639,           0.0016113,            0.002872,            0.002872,            0.002872
                  74,            0.034093,            0.037362,           0.0020147,              0.9052,             0.83561,               0.888,             0.52606,            0.032149,            0.017529,           0.0015052,            0.002773,            0.002773,            0.002773
                  75,            0.034096,            0.037792,           0.0020322,             0.89661,              0.8412,             0.88568,             0.52328,            0.032095,            0.017558,           0.0014559,            0.002674,            0.002674,            0.002674
                  76,            0.033986,            0.037529,           0.0020977,             0.90494,              0.8405,             0.88661,             0.52747,            0.031849,            0.017449,            0.001512,            0.002575,            0.002575,            0.002575
